word,frequency
actor,0.000516572942
ahold,0.000007877644
aloft,0.000036501852
ample,0.000118972481
amuse,0.000014104134
aisle,0.001475804179
allot,0.000143582814
altho,0.000164025731
ambit,0.000097853519
aquae,0.000000027500
ashen,0.000242864049
aches,0.000016451959
atoll,0.000000069896
awoke,0.000013729445
aback,0.000524270690
agone,0.000042689384
apply,0.020343611270
askew,0.000000091667
aural,0.000327993024
ahead,0.000595207301
aloft,0.000000202814
amble,0.000009792342
ardor,0.000013873821
aspen,0.000489252699
acock,0.000001565216
addle,0.000023883872
affix,0.000244617183
alloy,0.002205616645
annex,0.000533741050
annum,0.001256414938
array,0.007141663751
asker,0.000017533631
adept,0.000054574028
after,0.071961589454
altho,0.000052456517
apron,0.000053358292
arise,0.000233007540
aster,0.000193487547
abyss,0.000000905213
adder,0.000299476525
adept,0.000845709514
alack,0.000038373008
annul,0.000237433917
anura,0.000002214907
aphis,0.000041344169
adopt,0.000113991518
adorn,0.000015489454
alloy,0.000280917368
annex,0.000511353645
arras,0.000196711939
abaca,0.000025639297
abash,0.000014938305
adzes,0.000046095964
agene,0.000001902093
aging,0.003988961765
along,0.075565941136
armer,0.000011883498
azido,0.000018753950
abode,0.000049981504
acted,0.000067714511
alarm,0.000281231327
algae,0.000000252085
azide,0.000010676929
abate,0.000384744146
agent,0.000004327835
alder,0.000000079063
apnea,0.000054584340
atoll,0.000112419426
afire,0.000246788548
appal,0.000026137737
askew,0.000177359861
acorn,0.000108805450
afoot,0.000014548720
aloof,0.000017305609
atrip,0.000000897192
ating,0.000044487206
arbor,0.001819408116
alias,0.000761025124
aloha,0.000044489497
anise,0.000149378469
arise,0.009867610545
ashes,0.002616825092
abhor,0.000010109739
afore,0.000020597605
alert,0.000404222266
amine,0.000080605202
aquae,0.000032138497
abuzz,0.000032102976
afore,0.000443593300
algae,0.001209185739
adder,0.000052486309
ailed,0.000002225220
allot,0.000014082363
annum,0.000031442973
audit,0.000645525682
avast,0.000015626955
avert,0.000014146530
abide,0.001626174945
amino,0.005627926566
abaca,0.000008345147
addle,0.000009949321
algid,0.000000847921
ashen,0.000019786351
alone,0.000000107709
amaze,0.000226408653
anion,0.000748458706
arrow,0.004396785403
ascus,0.000052661622
atman,0.000051595992
avast,0.000010810993
abash,0.000001065630
abbot,0.000964494077
aloud,0.000127018563
anode,0.000085651478
atman,0.000103434902
abaft,0.000063725845
adios,0.000019271869
aorta,0.001345334349
argon,0.000544974858
async,0.000015845810
awash,0.000000084792
amour,0.000001349799
ascot,0.000080670515
avail,0.000052288079
avian,0.000113403702
about,0.439317198795
acrid,0.000336512338
aider,0.000049520877
anent,0.000061098436
apron,0.001306197066
attar,0.000032787042
agony,0.000000122605
alder,0.000246158336
algin,0.000004202938
aport,0.000000407919
aware,0.000323752273
axiom,0.000166977413
amber,0.001025251053
ament,0.000016480605
apace,0.000307757504
arson,0.000381978090
azote,0.000017398422
agile,0.000068116701
abler,0.000000073334
abode,0.001373931057
adage,0.000355033682
alary,0.000005964093
album,0.000419695678
assai,0.000005095547
atrip,0.000005023359
audit,0.002557805208
aunty,0.000000376981
auras,0.000091511299
awash,0.000189577944
abbey,0.001767855666
abide,0.000000147813
allow,0.001465748295
alone,0.001099053407
amity,0.000000095105
array,0.000433645124
aloft,0.000972253699
altar,0.004415272372
auger,0.000160605401
avian,0.000385918631
altar,0.000471417712
apace,0.000002865744
adios,0.000000406773
avers,0.000120719885
alkyl,0.000103470423
asset,0.000600297118
aunty,0.000116239654
azido,0.000003993249
alley,0.001713824766
alway,0.000124583655
amend,0.001180812469
ankle,0.002025088538
annoy,0.000480496196
auxin,0.000148476693
ached,0.000001625946
annul,0.000012473605
azure,0.000083131777
abbas,0.000017568006
anode,0.001069315443
avoid,0.022412030862
azure,0.000463163087
abide,0.000065830752
agent,0.002292518233
amend,0.000130642853
arris,0.000010784638
ascus,0.000005934301
acerb,0.000004742628
agent,0.018113038248
added,0.000865725032
anted,0.000001837926
assay,0.000277802977
atony,0.000006852118
abets,0.000026094195
ahold,0.000062728965
acold,0.000000122605
adult,0.002402442022
afoul,0.000001055318
allay,0.000007948686
alpha,0.002495364995
anode,0.000000281876
aught,0.000018821554
aloof,0.000992288697
adman,0.000005322423
aging,0.001401496509
alone,0.000008986817
arson,0.000000084792
augur,0.000000082500
adman,0.000012197458
