abaca,1257.949114210328,6674678
abaci,724.5623822088202,3844528
aback,1093.2860912174897,5800976
abaft,864.5397663022993,4587248
abase,359.5522050508858,1907784
abash,644.1684885035809,3417958
abate,419.57821334338485,2226282
abbas,763.0320392009046,4048648
abbey,544.1715039577837,2887374
abbot,636.4971730116849,3377254
abeam,629.7516019600453,3341462
abets,210.30908405578592,1115900
abhor,432.0829249905767,2292632
abide,313.7990953637392,1665018
abler,235.2649830380701,1248316
abode,315.49528835280813,1674018
aboil,370.99736147757255,1968512
abort,320.18695816057294,1698912
about,412.61062947606484,2189312
above,408.52770448548813,2167648
abrin,364.4802110817942,1933932
abuts,311.69506219374296,1653854
abuzz,1295.2005277044855,6872334
abysm,520.5525819826612,2762052
abyss,560.623822088202,2974670
acerb,333.99057670561626,1772154
ached,368.32491519035057,1954332
aches,217.8597813795703,1155964
acids,266.98303807010933,1416612
acing,518.2137203166227,2749642
acned,298.5028269883151,1583856
acock,825.8831511496419,4382136
acold,366.4560874481719,1944416
acorn,322.6517150395778,1711990
acres,147.66641537881642,783518
acrid,350.8846588767433,1861794
acted,267.6856388993592,1420340
actor,294.50546551074257,1562646
acute,283.56841311722576,1504614
adage,536.4719185827365,2846520
adapt,620.8480964945345,3294220
added,714.6626460610629,3792000
adder,400.91217489634374,2127240
addle,426.1873350923483,2261350
adept,313.7674330946099,1664850
adieu,264.80022615906523,1405030
adios,219.59819072747834,1165188
adman,786.6366377685639,4173894
admit,420.180550320392,2229478
admix,747.3211458725971,3965286
adobe,317.08254805880136,1682440
adopt,369.0938560120618,1958412
adore,217.89558989822842,1156154
adorn,311.2189973614776,1651328
adoze,394.60384470410855,2093768
adult,358.50395778364117,1902222
adust,304.21258952129665,1614152
adzes,279.10968714662647,1480956
aegis,188.71277798718432,1001310
aerie,262.81605729362985,1394502
affix,1199.9626837542405,6367002
afire,262.0316622691293,1390340
afoot,642.5024500565397,3409118
afore,258.47832642291746,1371486
afoul,456.3143611006408,2421204
after,262.6988315114964,1393880
again,679.9087825103657,3607596
agape,550.5834903882397,2921396
agate,427.61289106671694,2268914
agave,697.4783264229175,3700820
agaze,744.1579344138711,3948502
agene,486.06483226536,2579060
agent,322.28458349038823,1710042
agers,196.52167357708254,1042744
agile,277.07086317376553,1470138
aging,759.1323030531473,4027956
agios,254.94685261967584,1352748
aglow,547.2872220128157,2903906
agone,302.1323030531474,1603114
agony,512.5985676592537,2719848
agree,378.0147003392386,2005746
ahead,535.5152657369016,2841444
ahold,379.8548812664908,2015510
aided,386.6094986807388,2051350
aider,212.31737655484358,1126556
aides,154.47757255936676,819658
ailed,220.50810403316999,1170016
aimed,288.7157934413871,1531926
aimer,215.12815680361854,1141470
aired,202.92385978137958,1076714
airer,272.0316622691293,1443400
aisle,157.77346400301545,837146
aitch,438.80776479457217,2328314
alack,825.6437994722955,4380866
alarm,523.7553712777988,2779046
alary,500.9917075009423,2658262
alate,309.27855258198264,1641032
